LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
28,43:59.841,-,-,167.23,1:33.490,19.0,1,9,M. Schumacher,PREMA Racing,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:01.294,1.453,1.453,167.138,1:33.056,4.0,2,2,N. Matsushita,Carlin,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:03.237,3.396,1.943,167.015,1:33.542,16.0,3,5,S. Sette Câmara,DAMS,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:04.018,4.177,0.781,166.965,1:33.663,9.0,4,16,J. King,MP Motorsport,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:04.801,4.960,0.783,166.916,1:33.560,17.0,5,15,J. Aitken,Campos Racing,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:11.269,11.428,6.468,166.509,1:34.030,17.0,6,4,N. de Vries,ART Grand Prix,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:12.155,12.314,0.886,166.453,1:33.704,18.0,7,6,N. Latifi,DAMS,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:12.771,12.930,0.616,166.414,1:33.287,9.0,8,8,L. Ghiotto,UNI-Virtuosi,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:13.662,13.821,0.891,166.359,1:33.673,11.0,9,7,G. Zhou,UNI-Virtuosi,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:23.718,23.877,10.056,165.731,1:33.714,10.0,10,11,C. Ilott,Sauber Junior Team by Charouz,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:26.732,26.891,3.014,165.543,1:33.871,11.0,11,19,A. Hubert,BWT Arden,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:29.368,29.527,2.636,165.38,1:33.905,11.0,12,20,G. Alesi,Trident,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:35.582,35.741,6.214,164.996,1:33.797,11.0,13,1,L. Delétraz,Carlin,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:38.355,38.514,2.773,164.825,1:33.996,11.0,14,12,J. Correa,Sauber Junior Team by Charouz,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:39.773,39.932,1.418,164.738,1:33.933,10.0,15,3,N. Mazepin,ART Grand Prix,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:39.934,40.093,0.161,164.728,1:33.734,13.0,16,14,A. Maini,Campos Racing,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:40.578,40.737,0.644,164.688,1:33.808,12.0,17,10,S. Gelael,PREMA Racing,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:42.698,42.857,2.120,164.558,1:33.812,11.0,18,21,R. Boschung,Trident,Budapest,Sprint Race,,Round 8 ,2019-08-04
28,44:59.529,59.688,16.831,163.532,1:34.757,5.0,19,17,M. Raghunathan,MP Motorsport,Budapest,Sprint Race,,Round 8 ,2019-08-04
37,1:02:40.675,-,-,155.133,1:33.021,2.0,1,6,N. Latifi,DAMS,Budapest,Feature Race,,Round 8 ,2019-08-04
37,1:02:41.427,0.752,0.752,155.102,1:32.882,8.0,2,4,N. de Vries,ART Grand Prix,Budapest,Feature Race,,Round 8 ,2019-08-04
37,1:02:41.720,1.045,0.293,155.09,1:33.538,12.0,3,15,J. Aitken,Campos Racing,Budapest,Feature Race,,Round 8 ,2019-08-04
37,1:02:48.670,7.995,2.713,154.804,1:33.224,11.0,4,8,L. Ghiotto,UNI-Virtuosi,Budapest,Feature Race,,Round 8 ,2019-08-04
37,1:02:44.819,4.144,3.099,154.962,1:33.520,26.0,5,5,S. Sette Câmara,DAMS,Budapest,Feature Race,,Round 8 ,2019-08-04
37,1:02:50.723,10.048,2.053,154.719,1:32.436,33.0,6,16,J. King,MP Motorsport,Budapest,Feature Race,,Round 8 ,2019-08-04
37,1:02:45.957,5.282,1.138,154.915,1:33.787,23.0,7,2,N. Matsushita,Carlin,Budapest,Feature Race,,Round 8 ,2019-08-04
37,1:02:56.482,15.807,5.759,154.483,1:33.752,12.0,8,9,M. Schumacher,PREMA Racing,Budapest,Feature Race,,Round 8 ,2019-08-04
37,1:02:58.470,17.795,1.988,154.402,1:33.748,27.0,9,7,G. Zhou,UNI-Virtuosi,Budapest,Feature Race,,Round 8 ,2019-08-04
